---summary report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(1.05),totalCount(371), SelCount(86), selAvg(0.99) 


---detail report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(6.00), duration(3)  Result:avgVal(1.05),totalCount(371), SelCount(86), selAvg(0.99) 
index(0), percent(50.40)  count(187) 
SH600075 TBuyData:20160308(1), pvHi2Op(0.000), TSellData:20160309(1), dvSelltoBuy:6.00
SH600080 TBuyData:20160314(1), pvHi2Op(0.000), TSellData:20160315(1), dvSelltoBuy:6.00
SH600094 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160304(1), dvSelltoBuy:6.00
SH600096 TBuyData:20160616(1), pvHi2Op(0.000), TSellData:20160617(1), dvSelltoBuy:6.00
SH600097 TBuyData:20160405(1), pvHi2Op(0.000), TSellData:20160406(1), dvSelltoBuy:6.00
SH600106 TBuyData:20160224(1), pvHi2Op(0.000), TSellData:20160225(1), dvSelltoBuy:6.00
SH600121 TBuyData:20160421(1), pvHi2Op(0.000), TSellData:20160422(1), dvSelltoBuy:6.00
SH600139 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160304(1), dvSelltoBuy:6.00
SH600146 TBuyData:20160223(1), pvHi2Op(0.000), TSellData:20160224(1), dvSelltoBuy:6.00
SH600159 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160304(1), dvSelltoBuy:6.00
SH600193 TBuyData:20160308(1), pvHi2Op(0.000), TSellData:20160309(1), dvSelltoBuy:6.00
SH600200 TBuyData:20160607(1), pvHi2Op(0.000), TSellData:20160608(1), dvSelltoBuy:6.00
SH600208 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160304(1), dvSelltoBuy:6.00
SH600239 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160304(1), dvSelltoBuy:6.00
SH600262 TBuyData:20160516(1), pvHi2Op(0.000), TSellData:20160517(1), dvSelltoBuy:6.00
SH600331 TBuyData:20160414(1), pvHi2Op(0.000), TSellData:20160415(1), dvSelltoBuy:6.00
SH600336 TBuyData:20160308(1), pvHi2Op(0.000), TSellData:20160309(1), dvSelltoBuy:6.00
SH600370 TBuyData:20160222(1), pvHi2Op(0.000), TSellData:20160223(1), dvSelltoBuy:6.00
SH600392 TBuyData:20160223(1), pvHi2Op(0.000), TSellData:20160224(1), dvSelltoBuy:6.00
SH600460 TBuyData:20160516(1), pvHi2Op(0.000), TSellData:20160517(1), dvSelltoBuy:6.00
SH600490 TBuyData:20160620(1), pvHi2Op(0.000), TSellData:20160621(1), dvSelltoBuy:6.00
SH600586 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160308(3), dvSelltoBuy:6.00
SH600613 TBuyData:20160505(1), pvHi2Op(0.000), TSellData:20160506(1), dvSelltoBuy:6.00
SH600623 TBuyData:20160308(1), pvHi2Op(0.000), TSellData:20160309(1), dvSelltoBuy:6.00
SH600649 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160304(1), dvSelltoBuy:6.00
SH600662 TBuyData:20160728(1), pvHi2Op(0.000), TSellData:20160729(1), dvSelltoBuy:6.00
SH600675 TBuyData:20160225(1), pvHi2Op(0.000), TSellData:20160226(1), dvSelltoBuy:6.00
SH600684 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160304(1), dvSelltoBuy:6.00
SH600699 TBuyData:20160616(1), pvHi2Op(0.000), TSellData:20160617(1), dvSelltoBuy:6.00
SH600712 TBuyData:20160218(1), pvHi2Op(0.000), TSellData:20160219(1), dvSelltoBuy:6.00
SH600722 TBuyData:20160223(1), pvHi2Op(0.000), TSellData:20160224(1), dvSelltoBuy:6.00
SH600722 TBuyData:20160607(1), pvHi2Op(0.000), TSellData:20160608(1), dvSelltoBuy:6.00
SH600724 TBuyData:20160420(1), pvHi2Op(0.000), TSellData:20160421(1), dvSelltoBuy:6.00
SH600753 TBuyData:20160224(1), pvHi2Op(0.000), TSellData:20160225(1), dvSelltoBuy:6.00
SH600782 TBuyData:20160223(1), pvHi2Op(0.000), TSellData:20160224(1), dvSelltoBuy:6.00
SH600802 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160304(1), dvSelltoBuy:6.00
SH600806 TBuyData:20160204(1), pvHi2Op(0.000), TSellData:20160205(1), dvSelltoBuy:6.00
SH600828 TBuyData:20160608(1), pvHi2Op(0.000), TSellData:20160613(1), dvSelltoBuy:6.00
SH600838 TBuyData:20160607(1), pvHi2Op(0.000), TSellData:20160608(1), dvSelltoBuy:6.00
SH600861 TBuyData:20160504(1), pvHi2Op(0.000), TSellData:20160505(1), dvSelltoBuy:6.00
SH600963 TBuyData:20160225(1), pvHi2Op(0.000), TSellData:20160226(1), dvSelltoBuy:6.00
SH600971 TBuyData:20160223(1), pvHi2Op(0.000), TSellData:20160224(1), dvSelltoBuy:6.00
SH600975 TBuyData:20160622(1), pvHi2Op(0.000), TSellData:20160623(1), dvSelltoBuy:6.00
SH600980 TBuyData:20160225(1), pvHi2Op(0.000), TSellData:20160226(1), dvSelltoBuy:6.00
SH601100 TBuyData:20160309(1), pvHi2Op(0.000), TSellData:20160310(1), dvSelltoBuy:6.00
SH601137 TBuyData:20160504(1), pvHi2Op(0.000), TSellData:20160505(1), dvSelltoBuy:6.00
SH601231 TBuyData:20160726(1), pvHi2Op(0.000), TSellData:20160727(1), dvSelltoBuy:6.00
