---summary report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(0.80),totalCount(369), SelCount(83), selAvg(0.48) 


---detail report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(6.00), duration(3)  Result:avgVal(0.80),totalCount(369), SelCount(83), selAvg(0.48) 
index(0), percent(44.58)  count(37) 
SH600008 TBuyData:20160302(1), pvHi2Op(0.000), TSellData:20160303(1), dvSelltoBuy:6.00
SH600095 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160302(2), dvSelltoBuy:6.00
SH600103 TBuyData:20160509(2), pvHi2Op(0.000), TSellData:20160510(1), dvSelltoBuy:6.00
SH600105 TBuyData:20160704(2), pvHi2Op(0.000), TSellData:20160705(1), dvSelltoBuy:6.00
SH600117 TBuyData:20160301(2), pvHi2Op(0.000), TSellData:20160302(1), dvSelltoBuy:6.00
SH600127 TBuyData:20160512(1), pvHi2Op(0.000), TSellData:20160513(1), dvSelltoBuy:6.00
SH600146 TBuyData:20160525(2), pvHi2Op(0.000), TSellData:20160530(3), dvSelltoBuy:6.00
SH600148 TBuyData:20160215(2), pvHi2Op(0.000), TSellData:20160216(1), dvSelltoBuy:6.00
SH600152 TBuyData:20160616(1), pvHi2Op(0.000), TSellData:20160617(1), dvSelltoBuy:6.00
SH600160 TBuyData:20160331(1), pvHi2Op(0.000), TSellData:20160406(3), dvSelltoBuy:6.00
SH600191 TBuyData:20160624(1), pvHi2Op(0.000), TSellData:20160628(2), dvSelltoBuy:6.00
SH600262 TBuyData:20160516(1), pvHi2Op(0.000), TSellData:20160517(1), dvSelltoBuy:6.00
SH600303 TBuyData:20160617(2), pvHi2Op(0.000), TSellData:20160620(1), dvSelltoBuy:6.00
SH600306 TBuyData:20160315(1), pvHi2Op(0.000), TSellData:20160317(2), dvSelltoBuy:6.00
SH600330 TBuyData:20160316(2), pvHi2Op(0.000), TSellData:20160317(1), dvSelltoBuy:6.00
SH600359 TBuyData:20160329(2), pvHi2Op(0.000), TSellData:20160330(1), dvSelltoBuy:6.00
SH600360 TBuyData:20160425(1), pvHi2Op(0.000), TSellData:20160426(1), dvSelltoBuy:6.00
SH600538 TBuyData:20160503(1), pvHi2Op(0.000), TSellData:20160504(1), dvSelltoBuy:6.00
SH600545 TBuyData:20160310(2), pvHi2Op(0.000), TSellData:20160311(1), dvSelltoBuy:6.00
