

SH600226---detail report(20160225-21680808)---
No.(0)- Conditon:  destDVVALUE(10.00), duration(1)  Result:totalS2BDVVal(168.38), AvgVal(3.18),totalCount(53), sucPercent(26.42) 
index(0), percent(26.42)  count(14) 
(null) TBuyData:20120330, TSellData:0, dvSelltoBuy:-14.09, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120531, TSellData:0, dvSelltoBuy:-6.64, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120629, TSellData:0, dvSelltoBuy:-10.00, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120731, TSellData:0, dvSelltoBuy:-4.90, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120831, TSellData:0, dvSelltoBuy:-8.23, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20121031, TSellData:0, dvSelltoBuy:-9.96, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20121130, TSellData:0, dvSelltoBuy:-19.72, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130329, TSellData:0, dvSelltoBuy:-9.09, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130426, TSellData:0, dvSelltoBuy:-10.78, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130628, TSellData:0, dvSelltoBuy:-24.51, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130930, TSellData:0, dvSelltoBuy:-2.71, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140228, TSellData:0, dvSelltoBuy:-3.33, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140430, TSellData:0, dvSelltoBuy:-3.00, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20141231, TSellData:0, dvSelltoBuy:-3.65, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20151231, TSellData:0, dvSelltoBuy:-3.23, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160129, TSellData:0, dvSelltoBuy:-30.73, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160427, TSellData:0, dvSelltoBuy:-1.71, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160729, TSellData:0, dvSelltoBuy:-8.58, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000


SH600251---detail report(20160225-21680808)---
No.(0)- Conditon:  destDVVALUE(10.00), duration(1)  Result:totalS2BDVVal(25.11), AvgVal(0.42),totalCount(60), sucPercent(16.67) 
index(0), percent(16.67)  count(10) 
(null) TBuyData:20120229, TSellData:0, dvSelltoBuy:15.17, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120531, TSellData:0, dvSelltoBuy:11.21, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20121231, TSellData:0, dvSelltoBuy:11.32, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130731, TSellData:0, dvSelltoBuy:66.21, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140530, TSellData:0, dvSelltoBuy:13.59, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140731, TSellData:0, dvSelltoBuy:13.66, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140930, TSellData:0, dvSelltoBuy:13.52, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150331, TSellData:0, dvSelltoBuy:32.73, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150529, TSellData:0, dvSelltoBuy:20.37, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160331, TSellData:0, dvSelltoBuy:16.50, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
index(1), percent(38.33)  count(23) 
(null) TBuyData:20120131, TSellData:0, dvSelltoBuy:3.39, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120427, TSellData:0, dvSelltoBuy:2.54, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120731, TSellData:0, dvSelltoBuy:2.24, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130131, TSellData:0, dvSelltoBuy:8.44, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130426, TSellData:0, dvSelltoBuy:5.42, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130531, TSellData:0, dvSelltoBuy:0.50, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130930, TSellData:0, dvSelltoBuy:-1.27, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20131129, TSellData:0, dvSelltoBuy:9.94, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140228, TSellData:0, dvSelltoBuy:2.14, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140430, TSellData:0, dvSelltoBuy:2.04, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140829, TSellData:0, dvSelltoBuy:-1.09, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20141128, TSellData:0, dvSelltoBuy:8.47, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150130, TSellData:0, dvSelltoBuy:8.55, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20150430, TSellData:0, dvSelltoBuy:-0.71, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20151030, TSellData:0, dvSelltoBuy:8.48, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20151130, TSellData:0, dvSelltoBuy:5.88, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20151231, TSellData:0, dvSelltoBuy:3.79, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160429, TSellData:0, dvSelltoBuy:0.75, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160630, TSellData:0, dvSelltoBuy:7.10, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160729, TSellData:0, dvSelltoBuy:-1.01, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160831, TSellData:0, dvSelltoBuy:0.64, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20160930, TSellData:0, dvSelltoBuy:-1.40, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20161018, TSellData:0, dvSelltoBuy:2.82, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
index(2), percent(45.00)  count(27) 
(null) TBuyData:20111130, TSellData:0, dvSelltoBuy:-2.62, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20111230, TSellData:0, dvSelltoBuy:-20.49, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120330, TSellData:0, dvSelltoBuy:-17.02, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120629, TSellData:0, dvSelltoBuy:-11.02, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120831, TSellData:0, dvSelltoBuy:-3.17, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20120928, TSellData:0, dvSelltoBuy:-7.47, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20121031, TSellData:0, dvSelltoBuy:-7.82, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20121130, TSellData:0, dvSelltoBuy:-7.43, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130228, TSellData:0, dvSelltoBuy:-2.00, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130329, TSellData:0, dvSelltoBuy:-9.13, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130628, TSellData:0, dvSelltoBuy:-17.37, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20130830, TSellData:0, dvSelltoBuy:-26.49, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20131031, TSellData:0, dvSelltoBuy:-9.36, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20131231, TSellData:0, dvSelltoBuy:-3.97, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140130, TSellData:0, dvSelltoBuy:-3.03, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140331, TSellData:0, dvSelltoBuy:-4.32, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20140630, TSellData:0, dvSelltoBuy:-8.18, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
(null) TBuyData:20141031, TSellData:0, dvSelltoBuy:-6.84, vol:0.000,MA5:0.000, MA10:0.000, MA20:0.000; dayMA5:0.000, dayMA10:0.000
