SH600610: avgDV:1.09, LastDV:2.22
time:20120131, dvT0:1.00
time:20130131, dvT0:0.93
time:20140121, dvT0:1.02
time:20150130, dvT0:1.08
time:20160128, dvT0:1.41
SZ000426: avgDV:1.09, LastDV:1.53
time:20120131, dvT0:1.27
time:20130131, dvT0:1.04
time:20140130, dvT0:0.95
SH600588: avgDV:1.09, LastDV:2.21
time:20120131, dvT0:0.90
time:20130131, dvT0:1.03
time:20140130, dvT0:1.45
time:20150130, dvT0:1.46
time:20160129, dvT0:0.58
SZ000768: avgDV:1.09, LastDV:2.55
time:20120131, dvT0:1.06
time:20130131, dvT0:1.39
time:20140130, dvT0:0.97
time:20150130, dvT0:1.30
time:20160129, dvT0:0.70
SZ002008: avgDV:1.08, LastDV:2.82
time:20120131, dvT0:1.10
time:20130131, dvT0:1.32
time:20140130, dvT0:1.15
time:20150130, dvT0:1.07
time:20160129, dvT0:0.79
SZ002172: avgDV:1.08, LastDV:2.22
time:20120131, dvT0:1.06
time:20130131, dvT0:1.44
time:20140130, dvT0:1.12
time:20160129, dvT0:0.71
SZ002527: avgDV:1.08, LastDV:2.13
time:20120131, dvT0:0.94
time:20130131, dvT0:1.34
time:20140130, dvT0:1.35
time:20150130, dvT0:1.13
time:20160129, dvT0:0.65
SZ000738: avgDV:1.08, LastDV:2.41
time:20120131, dvT0:0.94
time:20130131, dvT0:1.28
time:20140130, dvT0:1.10
time:20150130, dvT0:1.10
time:20160129, dvT0:0.97
SH601000: avgDV:1.08, LastDV:2.15
time:20120131, dvT0:1.03
time:20130131, dvT0:1.11
time:20140130, dvT0:0.91
time:20150130, dvT0:1.27
SH600880: avgDV:1.08, LastDV:1.09
time:20120131, dvT0:0.84
time:20130131, dvT0:1.02
time:20140130, dvT0:1.37
time:20150130, dvT0:1.10
time:20160129, dvT0:1.06
SZ002022: avgDV:1.08, LastDV:1.90
time:20120131, dvT0:0.98
time:20130131, dvT0:1.24
time:20140130, dvT0:1.37
time:20150130, dvT0:1.15
time:20160129, dvT0:0.65
SZ000033: avgDV:1.08, LastDV:2.29
time:20120131, dvT0:1.06
time:20130131, dvT0:1.11
time:20140130, dvT0:1.05
SZ002349: avgDV:1.07, LastDV:2.83
time:20120131, dvT0:0.75
time:20130131, dvT0:1.05
time:20140123, dvT0:1.09
time:20150130, dvT0:1.41
SH600297: avgDV:1.07, LastDV:1.93
time:20120131, dvT0:1.01
time:20130131, dvT0:1.10
time:20140130, dvT0:1.01
time:20150130, dvT0:1.23
time:20160129, dvT0:1.02
SZ000760: avgDV:1.07, LastDV:2.98
time:20120131, dvT0:1.03
time:20130131, dvT0:1.47
