---summary report(20100101-21680808)---
No.(0)- Conditon:  DESTDVVALUE(3.00), duration(1)  Result:allTotalS2BDVValue(47.53), totalAvgVal(0.70),totalCount(68), SelCount(68), selAvg(0.70) 


---detail report(20100101-21680808)---
No.(0)- Conditon:  DESTDVVALUE(3.00), duration(1)  Result:avgVal(0.70),totalCount(68), SelCount(68), selAvg(0.70) 
index(0), percent(22.06)  count(15) 
SH600418 TBuyData:20140311, pvHi2Op(0.000), TSellData:20140312, dvSelltoBuy:-1.56
SH600418 TBuyData:20140313, pvHi2Op(0.000), TSellData:20140314, dvSelltoBuy:-2.72
SH600418 TBuyData:20140716, pvHi2Op(0.000), TSellData:20140717, dvSelltoBuy:-2.51
SH600418 TBuyData:20141103, pvHi2Op(0.000), TSellData:20141104, dvSelltoBuy:-1.89
SH600418 TBuyData:20150304, pvHi2Op(0.000), TSellData:20150306, dvSelltoBuy:-1.82
SH600418 TBuyData:20150427, pvHi2Op(0.000), TSellData:20150428, dvSelltoBuy:-4.84
SH600418 TBuyData:20150702, pvHi2Op(0.000), TSellData:20150703, dvSelltoBuy:-7.70
SH600418 TBuyData:20150901, pvHi2Op(0.000), TSellData:20150902, dvSelltoBuy:-2.79
SH600418 TBuyData:20160309, pvHi2Op(0.000), TSellData:20160310, dvSelltoBuy:-2.34
SH600418 TBuyData:20160414, pvHi2Op(0.000), TSellData:20160415, dvSelltoBuy:-1.55
index(3), percent(0.00)  count(0) 
