---summary report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(5.00), duration(3)  Result:avgVal(0.44),totalCount(572), SelCount(37), selVal(132.875785) 


---detail report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(5.00), duration(3)  Result:avgVal(0.44),totalCount(572), SelCount(37), selVal(132.875785) 
index(0), percent(53.15)  count(304) 
SH600008 TBuyData:20160302(1), pvHi2Op(0.000), TSellData:20160303(1), dvSelltoBuy:5.00
SH600063 TBuyData:20160304(2), pvHi2Op(1.010), TSellData:20160307(1), dvSelltoBuy:5.00
SH600075 TBuyData:20160310(3), pvHi2Op(1.021), TSellData:20160314(2), dvSelltoBuy:5.00
SH600080 TBuyData:20160316(3), pvHi2Op(1.026), TSellData:20160318(2), dvSelltoBuy:5.00
SH600095 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160302(2), dvSelltoBuy:5.00
SH600097 TBuyData:20160408(4), pvHi2Op(1.028), TSellData:20160413(3), dvSelltoBuy:5.00
SH600103 TBuyData:20160509(2), pvHi2Op(1.053), TSellData:20160510(1), dvSelltoBuy:5.00
SH600105 TBuyData:20160704(2), pvHi2Op(1.026), TSellData:20160705(1), dvSelltoBuy:5.00
SH600106 TBuyData:20160225(2), pvHi2Op(1.000), TSellData:20160226(1), dvSelltoBuy:5.00
SH600117 TBuyData:20160301(2), pvHi2Op(1.085), TSellData:20160302(1), dvSelltoBuy:5.00
SH600127 TBuyData:20160512(1), pvHi2Op(0.000), TSellData:20160513(1), dvSelltoBuy:5.00
SH600139 TBuyData:20160304(2), pvHi2Op(1.038), TSellData:20160307(1), dvSelltoBuy:5.00
SH600146 TBuyData:20160301(4), pvHi2Op(1.093), TSellData:20160302(1), dvSelltoBuy:5.00
SH600146 TBuyData:20160525(2), pvHi2Op(1.018), TSellData:20160527(2), dvSelltoBuy:5.00
SH600148 TBuyData:20160215(2), pvHi2Op(1.058), TSellData:20160216(1), dvSelltoBuy:5.00
SH600149 TBuyData:20160215(3), pvHi2Op(1.057), TSellData:20160216(1), dvSelltoBuy:5.00
SH600152 TBuyData:20160616(1), pvHi2Op(0.000), TSellData:20160617(1), dvSelltoBuy:5.00
SH600160 TBuyData:20160331(1), pvHi2Op(0.000), TSellData:20160406(3), dvSelltoBuy:5.00
SH600165 TBuyData:20160721(3), pvHi2Op(1.023), TSellData:20160725(2), dvSelltoBuy:5.00
SH600171 TBuyData:20160308(1), pvHi2Op(0.000), TSellData:20160309(1), dvSelltoBuy:5.00
SH600180 TBuyData:20160215(2), pvHi2Op(1.032), TSellData:20160216(1), dvSelltoBuy:5.00
SH600188 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160302(1), dvSelltoBuy:5.00
SH600191 TBuyData:20160624(1), pvHi2Op(0.000), TSellData:20160627(1), dvSelltoBuy:5.00
SH600193 TBuyData:20160311(4), pvHi2Op(1.050), TSellData:20160314(1), dvSelltoBuy:5.00
SH600207 TBuyData:20160215(3), pvHi2Op(1.060), TSellData:20160216(1), dvSelltoBuy:5.00
SH600259 TBuyData:20160215(2), pvHi2Op(1.130), TSellData:20160216(1), dvSelltoBuy:5.00
SH600259 TBuyData:20160513(1), pvHi2Op(0.000), TSellData:20160516(1), dvSelltoBuy:5.00
SH600262 TBuyData:20160516(1), pvHi2Op(0.000), TSellData:20160517(1), dvSelltoBuy:5.00
SH600268 TBuyData:20160613(4), pvHi2Op(1.008), TSellData:20160615(2), dvSelltoBuy:5.00
SH600298 TBuyData:20160304(2), pvHi2Op(1.037), TSellData:20160307(1), dvSelltoBuy:5.00
SH600303 TBuyData:20160617(2), pvHi2Op(1.028), TSellData:20160620(1), dvSelltoBuy:5.00
SH600306 TBuyData:20160315(1), pvHi2Op(0.000), TSellData:20160317(2), dvSelltoBuy:5.00
SH600307 TBuyData:20160304(2), pvHi2Op(1.036), TSellData:20160307(1), dvSelltoBuy:5.00
SH600316 TBuyData:20160302(1), pvHi2Op(0.000), TSellData:20160303(1), dvSelltoBuy:5.00
SH600325 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160301(1), dvSelltoBuy:5.00
SH600330 TBuyData:20160316(2), pvHi2Op(1.012), TSellData:20160317(1), dvSelltoBuy:5.00
SH600336 TBuyData:20160310(3), pvHi2Op(1.020), TSellData:20160315(3), dvSelltoBuy:5.00
SH600348 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160301(1), dvSelltoBuy:5.00
SH600359 TBuyData:20160329(2), pvHi2Op(1.044), TSellData:20160330(1), dvSelltoBuy:5.00
SH600360 TBuyData:20160425(1), pvHi2Op(0.000), TSellData:20160426(1), dvSelltoBuy:5.00
SH600370 TBuyData:20160225(4), pvHi2Op(1.033), TSellData:20160226(1), dvSelltoBuy:5.00
SH600387 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160302(2), dvSelltoBuy:5.00
SH600433 TBuyData:20160311(3), pvHi2Op(1.032), TSellData:20160314(1), dvSelltoBuy:5.00
SH600460 TBuyData:20160518(3), pvHi2Op(1.019), TSellData:20160519(1), dvSelltoBuy:5.00
SH600468 TBuyData:20160624(3), pvHi2Op(1.017), TSellData:20160627(1), dvSelltoBuy:5.00
SH600476 TBuyData:20160215(2), pvHi2Op(1.058), TSellData:20160216(1), dvSelltoBuy:5.00
SH600531 TBuyData:20160518(2), pvHi2Op(1.026), TSellData:20160519(1), dvSelltoBuy:5.00
SH600538 TBuyData:20160503(1), pvHi2Op(0.000), TSellData:20160504(1), dvSelltoBuy:5.00
SH600545 TBuyData:20160310(2), pvHi2Op(1.017), TSellData:20160311(1), dvSelltoBuy:5.00
SH600586 TBuyData:20160304(2), pvHi2Op(1.046), TSellData:20160308(2), dvSelltoBuy:5.00
SH600589 TBuyData:20160315(1), pvHi2Op(0.000), TSellData:20160318(3), dvSelltoBuy:5.00
SH600618 TBuyData:20160422(1), pvHi2Op(0.000), TSellData:20160425(1), dvSelltoBuy:5.00
SH600623 TBuyData:20160311(4), pvHi2Op(1.154), TSellData:20160315(2), dvSelltoBuy:5.00
SH600639 TBuyData:20160622(1), pvHi2Op(0.000), TSellData:20160623(1), dvSelltoBuy:5.00
SH600658 TBuyData:20160722(2), pvHi2Op(1.000), TSellData:20160727(3), dvSelltoBuy:5.00
SH600662 TBuyData:20160801(3), pvHi2Op(1.007), TSellData:20160802(1), dvSelltoBuy:5.00
SH600671 TBuyData:20160512(1), pvHi2Op(0.000), TSellData:20160516(2), dvSelltoBuy:5.00
SH600675 TBuyData:20160229(3), pvHi2Op(1.037), TSellData:20160301(1), dvSelltoBuy:5.00
SH600683 TBuyData:20160304(2), pvHi2Op(1.029), TSellData:20160307(1), dvSelltoBuy:5.00
SH600684 TBuyData:20160308(4), pvHi2Op(1.042), TSellData:20160309(1), dvSelltoBuy:5.00
SH600696 TBuyData:20160215(2), pvHi2Op(1.115), TSellData:20160216(1), dvSelltoBuy:5.00
SH600706 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160304(1), dvSelltoBuy:5.00
SH600706 TBuyData:20160503(3), pvHi2Op(1.032), TSellData:20160506(3), dvSelltoBuy:5.00
SH600711 TBuyData:20160329(2), pvHi2Op(1.005), TSellData:20160330(1), dvSelltoBuy:5.00
SH600712 TBuyData:20160219(2), pvHi2Op(1.026), TSellData:20160222(1), dvSelltoBuy:5.00
SH600722 TBuyData:20160613(3), pvHi2Op(1.029), TSellData:20160616(3), dvSelltoBuy:5.00
SH600724 TBuyData:20160420(1), pvHi2Op(0.000), TSellData:20160421(1), dvSelltoBuy:5.00
SH600734 TBuyData:20160215(2), pvHi2Op(1.045), TSellData:20160216(1), dvSelltoBuy:5.00
SH600746 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160301(1), dvSelltoBuy:5.00
SH600770 TBuyData:20160624(3), pvHi2Op(1.016), TSellData:20160627(1), dvSelltoBuy:5.00
SH600782 TBuyData:20160225(3), pvHi2Op(1.004), TSellData:20160226(1), dvSelltoBuy:5.00
SH600806 TBuyData:20160205(2), pvHi2Op(1.052), TSellData:20160218(3), dvSelltoBuy:5.00
SH600828 TBuyData:20160614(3), pvHi2Op(1.008), TSellData:20160615(1), dvSelltoBuy:5.00
SH600844 TBuyData:20160304(2), pvHi2Op(1.019), TSellData:20160307(1), dvSelltoBuy:5.00
SH600858 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160303(3), dvSelltoBuy:5.00
SH600869 TBuyData:20160301(3), pvHi2Op(1.005), TSellData:20160302(1), dvSelltoBuy:5.00
SH600892 TBuyData:20160308(1), pvHi2Op(0.000), TSellData:20160309(1), dvSelltoBuy:5.00
SH600963 TBuyData:20160229(3), pvHi2Op(1.021), TSellData:20160302(2), dvSelltoBuy:5.00
SH600975 TBuyData:20160624(3), pvHi2Op(1.013), TSellData:20160628(2), dvSelltoBuy:5.00
SH600986 TBuyData:20160518(1), pvHi2Op(0.000), TSellData:20160519(1), dvSelltoBuy:5.00
SH601011 TBuyData:20160217(1), pvHi2Op(0.000), TSellData:20160218(1), dvSelltoBuy:5.00
SH601100 TBuyData:20160311(3), pvHi2Op(1.017), TSellData:20160314(1), dvSelltoBuy:5.00
SH601216 TBuyData:20160215(2), pvHi2Op(1.040), TSellData:20160216(1), dvSelltoBuy:5.00
SH601233 TBuyData:20160419(4), pvHi2Op(1.010), TSellData:20160420(1), dvSelltoBuy:5.00
SH601258 TBuyData:20160329(3), pvHi2Op(1.010), TSellData:20160406(2), dvSelltoBuy:5.00
SH601579 TBuyData:20160304(2), pvHi2Op(1.011), TSellData:20160307(1), dvSelltoBuy:5.00
SH601599 TBuyData:20160707(4), pvHi2Op(1.084), TSellData:20160708(1), dvSelltoBuy:5.00
SH601699 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160301(1), dvSelltoBuy:5.00
SH601899 TBuyData:20160622(4), pvHi2Op(1.003), TSellData:20160624(2), dvSelltoBuy:5.00
SH601918 TBuyData:20160226(2), pvHi2Op(1.047), TSellData:20160229(1), dvSelltoBuy:5.00
SH603003 TBuyData:20160225(1), pvHi2Op(0.000), TSellData:20160226(1), dvSelltoBuy:5.00
SH603009 TBuyData:20160614(2), pvHi2Op(1.002), TSellData:20160615(1), dvSelltoBuy:5.00
SH603026 TBuyData:20160301(2), pvHi2Op(1.034), TSellData:20160302(1), dvSelltoBuy:5.00
SH603026 TBuyData:20160624(2), pvHi2Op(1.019), TSellData:20160627(1), dvSelltoBuy:5.00
