---summary report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(6.00), duration(3)  Result:totalAvgVal(1.05),totalCount(371), SelCount(86), selAvg(0.99) 


---detail report(20160125-20200101)---
No.(0)- Conditon: LastLimit(15), BUYPERCENT(1.03), DESTDVVALUE(6.00), duration(3)  Result:avgVal(1.05),totalCount(371), SelCount(86), selAvg(0.99) 
index(0), percent(41.86)  count(36) 
SZ002140 TBuyData:20160601(1), pvHi2Op(0.000), TSellData:20160606(3), dvSelltoBuy:-0.37
SZ002155 TBuyData:20160627(1), pvHi2Op(0.000), TSellData:20160630(3), dvSelltoBuy:-1.25
SZ002213 TBuyData:20160406(1), pvHi2Op(0.000), TSellData:20160411(3), dvSelltoBuy:1.56
SZ002330 TBuyData:20160512(1), pvHi2Op(0.000), TSellData:20160517(3), dvSelltoBuy:-0.58
SZ002584 TBuyData:20160526(1), pvHi2Op(0.000), TSellData:20160531(3), dvSelltoBuy:4.99
SZ002616 TBuyData:20160801(1), pvHi2Op(0.000), TSellData:20160804(3), dvSelltoBuy:0.51
SZ300170 TBuyData:20160615(1), pvHi2Op(0.000), TSellData:20160620(3), dvSelltoBuy:2.52
SZ300420 TBuyData:20160711(1), pvHi2Op(0.000), TSellData:20160714(3), dvSelltoBuy:0.69
SZ300477 TBuyData:20160701(1), pvHi2Op(0.000), TSellData:20160706(3), dvSelltoBuy:-0.89
index(2), percent(25.58)  count(22) 
SH600165 TBuyData:20160719(1), pvHi2Op(0.000), TSellData:20160722(3), dvSelltoBuy:-1.62
SH600226 TBuyData:20160304(1), pvHi2Op(0.000), TSellData:20160309(3), dvSelltoBuy:-5.62
SH600268 TBuyData:20160606(1), pvHi2Op(0.000), TSellData:20160613(3), dvSelltoBuy:-1.62
SH600401 TBuyData:20160505(1), pvHi2Op(0.000), TSellData:20160510(3), dvSelltoBuy:-8.21
SH600421 TBuyData:20160517(1), pvHi2Op(0.000), TSellData:20160520(3), dvSelltoBuy:-6.25
SH600512 TBuyData:20160722(1), pvHi2Op(0.000), TSellData:20160727(3), dvSelltoBuy:-2.60
SH600569 TBuyData:20160422(1), pvHi2Op(0.000), TSellData:20160427(3), dvSelltoBuy:-3.97
SH600696 TBuyData:20160420(1), pvHi2Op(0.000), TSellData:20160524(3), dvSelltoBuy:-10.90
SH601866 TBuyData:20160511(1), pvHi2Op(0.000), TSellData:20160516(3), dvSelltoBuy:-5.47
SH603718 TBuyData:20160506(1), pvHi2Op(0.000), TSellData:20160511(3), dvSelltoBuy:-8.39
SZ000008 TBuyData:20160302(1), pvHi2Op(0.000), TSellData:20160307(3), dvSelltoBuy:-2.22
SZ000066 TBuyData:20160322(1), pvHi2Op(0.000), TSellData:20160325(3), dvSelltoBuy:-3.23
SZ000593 TBuyData:20160425(1), pvHi2Op(0.000), TSellData:20160428(3), dvSelltoBuy:-3.62
SZ000627 TBuyData:20160311(1), pvHi2Op(0.000), TSellData:20160316(3), dvSelltoBuy:-6.78
SZ000838 TBuyData:20160310(1), pvHi2Op(0.000), TSellData:20160315(3), dvSelltoBuy:-9.59
SZ000912 TBuyData:20160727(1), pvHi2Op(0.000), TSellData:20160801(3), dvSelltoBuy:-6.00
SZ002134 TBuyData:20160803(1), pvHi2Op(0.000), TSellData:20160808(3), dvSelltoBuy:-8.20
SZ002200 TBuyData:20160415(1), pvHi2Op(0.000), TSellData:20160420(3), dvSelltoBuy:-8.86
SZ002652 TBuyData:20160805(1), pvHi2Op(0.000), TSellData:20160810(3), dvSelltoBuy:-2.14
SZ002760 TBuyData:20160808(1), pvHi2Op(0.000), TSellData:20160811(3), dvSelltoBuy:-6.91
SZ300148 TBuyData:20160613(1), pvHi2Op(0.000), TSellData:20160616(3), dvSelltoBuy:-4.91
SZ300228 TBuyData:20160525(1), pvHi2Op(0.000), TSellData:20160530(3), dvSelltoBuy:-1.64
index(3), percent(1.16)  count(1) 
SH600136 TBuyData:20160513(1), pvHi2Op(0.000), TSellData:20160518(3), dvSelltoBuy:-15.48
