No21 SH600898: avgDV:1.10, avgHighDV:1.16, LastDV:2.43
time:20120131, dvT0:1.03, dvHigh:1.07
time:20130131, dvT0:1.06, dvHigh:1.13
time:20140130, dvT0:1.01, dvHigh:1.07
time:20150130, dvT0:1.17, dvHigh:1.24
time:20160127, dvT0:1.25, dvHigh:1.29
No22 SZ002048: avgDV:1.10, avgHighDV:1.19, LastDV:2.68
time:20120131, dvT0:1.11, dvHigh:1.18
time:20130131, dvT0:1.01, dvHigh:1.04
time:20140130, dvT0:1.30, dvHigh:1.38
time:20150130, dvT0:1.00, dvHigh:1.15
No23 SZ000510: avgDV:1.10, avgHighDV:1.19, LastDV:1.09
time:20120131, dvT0:1.30, dvHigh:1.35
time:20130131, dvT0:1.44, dvHigh:1.47
time:20140130, dvT0:0.97, dvHigh:1.02
time:20150116, dvT0:1.06, dvHigh:1.08
time:20160129, dvT0:0.74, dvHigh:1.00
No24 SH600469: avgDV:1.10, avgHighDV:1.14, LastDV:1.60
time:20120131, dvT0:1.09, dvHigh:1.12
time:20130131, dvT0:1.10, dvHigh:1.13
time:20140130, dvT0:0.96, dvHigh:1.00
time:20150130, dvT0:1.27, dvHigh:1.32
No25 SZ000553: avgDV:1.10, avgHighDV:1.14, LastDV:2.04
time:20120131, dvT0:1.08, dvHigh:1.11
time:20130131, dvT0:1.23, dvHigh:1.30
time:20140130, dvT0:1.05, dvHigh:1.07
time:20150130, dvT0:1.04, dvHigh:1.06
No26 SZ002440: avgDV:1.10, avgHighDV:1.22, LastDV:1.93
time:20120131, dvT0:0.99, dvHigh:1.05
time:20130131, dvT0:1.41, dvHigh:1.45
time:20140130, dvT0:1.13, dvHigh:1.17
time:20150130, dvT0:1.26, dvHigh:1.39
time:20160129, dvT0:0.69, dvHigh:1.01
No27 SZ002379: avgDV:1.10, avgHighDV:1.20, LastDV:1.95
time:20120131, dvT0:1.12, dvHigh:1.32
time:20130131, dvT0:1.16, dvHigh:1.20
time:20140130, dvT0:1.13, dvHigh:1.22
time:20150130, dvT0:0.99, dvHigh:1.05
No28 SZ002649: avgDV:1.10, avgHighDV:1.20, LastDV:2.70
time:20130131, dvT0:1.17, dvHigh:1.24
time:20140130, dvT0:1.22, dvHigh:1.24
time:20150130, dvT0:1.29, dvHigh:1.35
time:20160129, dvT0:0.70, dvHigh:0.99
No29 SZ002410: avgDV:1.10, avgHighDV:1.23, LastDV:2.06
time:20120131, dvT0:0.82, dvHigh:1.03
time:20130131, dvT0:1.19, dvHigh:1.20
time:20140130, dvT0:1.50, dvHigh:1.51
time:20150130, dvT0:1.35, dvHigh:1.42
time:20160129, dvT0:0.62, dvHigh:1.00
No30 SH600894: avgDV:1.09, avgHighDV:1.21, LastDV:2.32
time:20120131, dvT0:0.99, dvHigh:1.09
time:20130131, dvT0:1.22, dvHigh:1.27
time:20140130, dvT0:1.26, dvHigh:1.33
time:20150130, dvT0:1.32, dvHigh:1.36
time:20160129, dvT0:0.69, dvHigh:1.01
No31 SZ002151: avgDV:1.09, avgHighDV:1.23, LastDV:2.53
time:20120131, dvT0:1.01, dvHigh:1.10
time:20130131, dvT0:1.54, dvHigh:1.73
time:20140130, dvT0:1.09, dvHigh:1.09
time:20150130, dvT0:1.13, dvHigh:1.22
time:20160129, dvT0:0.70, dvHigh:1.03
No32 SZ000925: avgDV:1.09, avgHighDV:1.15, LastDV:1.87
time:20120131, dvT0:1.00, dvHigh:1.09
time:20130131, dvT0:1.04, dvHigh:1.07
time:20140130, dvT0:1.05, dvHigh:1.06
time:20150130, dvT0:1.29, dvHigh:1.40
No33 SZ002346: avgDV:1.09, avgHighDV:1.18, LastDV:2.67
time:20120131, dvT0:1.04, dvHigh:1.09
time:20130131, dvT0:1.04, dvHigh:1.13
time:20150130, dvT0:1.25, dvHigh:1.34
time:20160129, dvT0:1.02, dvHigh:1.15
No34 SZ002231: avgDV:1.09, avgHighDV:1.16, LastDV:2.02
time:20120131, dvT0:1.16, dvHigh:1.18
time:20130131, dvT0:1.11, dvHigh:1.29
time:20140130, dvT0:1.03, dvHigh:1.05
time:20150130, dvT0:1.06, dvHigh:1.11
No35 SH600610: avgDV:1.09, avgHighDV:1.14, LastDV:2.22
time:20120131, dvT0:1.00, dvHigh:1.06
time:20130131, dvT0:0.93, dvHigh:1.02
time:20140121, dvT0:1.02, dvHigh:1.07
time:20150130, dvT0:1.08, dvHigh:1.11
time:20160128, dvT0:1.41, dvHigh:1.41
No36 SZ000426: avgDV:1.09, avgHighDV:1.14, LastDV:1.53
time:20120131, dvT0:1.27, dvHigh:1.33
time:20130131, dvT0:1.04, dvHigh:1.08
time:20140130, dvT0:0.95, dvHigh:1.02
No37 SH600588: avgDV:1.09, avgHighDV:1.29, LastDV:2.21
time:20120131, dvT0:0.90, dvHigh:1.03
time:20130131, dvT0:1.03, dvHigh:1.11
time:20140130, dvT0:1.45, dvHigh:1.54
time:20150130, dvT0:1.46, dvHigh:1.74
time:20160129, dvT0:0.58, dvHigh:1.01
No38 SZ000768: avgDV:1.09, avgHighDV:1.23, LastDV:2.55
time:20120131, dvT0:1.06, dvHigh:1.11
time:20130131, dvT0:1.39, dvHigh:1.53
time:20140130, dvT0:0.97, dvHigh:1.02
time:20150130, dvT0:1.30, dvHigh:1.47
time:20160129, dvT0:0.70, dvHigh:1.04
No39 SZ002008: avgDV:1.08, avgHighDV:1.18, LastDV:2.82
time:20120131, dvT0:1.10, dvHigh:1.14
time:20130131, dvT0:1.32, dvHigh:1.43
time:20140130, dvT0:1.15, dvHigh:1.22
time:20150130, dvT0:1.07, dvHigh:1.12
time:20160129, dvT0:0.79, dvHigh:1.00
No40 SZ002172: avgDV:1.08, avgHighDV:1.19, LastDV:2.22
time:20120131, dvT0:1.06, dvHigh:1.14
time:20130131, dvT0:1.44, dvHigh:1.46
time:20140130, dvT0:1.12, dvHigh:1.15
time:20160129, dvT0:0.71, dvHigh:1.01
No41 SZ002527: avgDV:1.08, avgHighDV:1.20, LastDV:2.13
time:20120131, dvT0:0.94, dvHigh:1.06
time:20130131, dvT0:1.34, dvHigh:1.41
time:20140130, dvT0:1.35, dvHigh:1.35
time:20150130, dvT0:1.13, dvHigh:1.17
time:20160129, dvT0:0.65, dvHigh:1.00
No42 SZ000738: avgDV:1.08, avgHighDV:1.16, LastDV:2.41
time:20120131, dvT0:0.94, dvHigh:1.02
time:20130131, dvT0:1.28, dvHigh:1.43
time:20140130, dvT0:1.10, dvHigh:1.15
time:20150130, dvT0:1.10, dvHigh:1.18
time:20160129, dvT0:0.97, dvHigh:1.04
No43 SH601000: avgDV:1.08, avgHighDV:1.18, LastDV:2.15
time:20120131, dvT0:1.03, dvHigh:1.06
time:20130131, dvT0:1.11, dvHigh:1.18
time:20140130, dvT0:0.91, dvHigh:1.00
time:20150130, dvT0:1.27, dvHigh:1.48
No44 SH600880: avgDV:1.08, avgHighDV:1.22, LastDV:1.09
time:20120131, dvT0:0.84, dvHigh:1.01
time:20130131, dvT0:1.02, dvHigh:1.17
time:20140130, dvT0:1.37, dvHigh:1.41
time:20150130, dvT0:1.10, dvHigh:1.18
time:20160129, dvT0:1.06, dvHigh:1.33
No45 SZ002022: avgDV:1.08, avgHighDV:1.17, LastDV:1.90
time:20120131, dvT0:0.98, dvHigh:1.03
time:20130131, dvT0:1.24, dvHigh:1.28
time:20140130, dvT0:1.37, dvHigh:1.38
time:20150130, dvT0:1.15, dvHigh:1.17
time:20160129, dvT0:0.65, dvHigh:1.00
No46 SZ000033: avgDV:1.08, avgHighDV:1.11, LastDV:2.29
time:20120131, dvT0:1.06, dvHigh:1.08
time:20130131, dvT0:1.11, dvHigh:1.14
time:20140130, dvT0:1.05, dvHigh:1.10
No47 SZ002349: avgDV:1.07, avgHighDV:1.16, LastDV:2.83
time:20120131, dvT0:0.75, dvHigh:1.01
time:20130131, dvT0:1.05, dvHigh:1.11
time:20140123, dvT0:1.09, dvHigh:1.10
time:20150130, dvT0:1.41, dvHigh:1.43
No48 SH600297: avgDV:1.07, avgHighDV:1.13, LastDV:1.93
time:20120131, dvT0:1.01, dvHigh:1.05
time:20130131, dvT0:1.10, dvHigh:1.14
time:20140130, dvT0:1.01, dvHigh:1.02
time:20150130, dvT0:1.23, dvHigh:1.38
time:20160129, dvT0:1.02, dvHigh:1.05
No49 SZ000760: avgDV:1.07, avgHighDV:1.17, LastDV:2.98
time:20120131, dvT0:1.03, dvHigh:1.12
time:20130131, dvT0:1.47, dvHigh:1.53
time:20140130, dvT0:1.06, dvHigh:1.09
time:20150130, dvT0:1.13, dvHigh:1.14
time:20160129, dvT0:0.68, dvHigh:1.00
No50 SZ000681: avgDV:1.07, avgHighDV:1.27, LastDV:1.78
time:20140130, dvT0:1.41, dvHigh:1.57
time:20150130, dvT0:1.18, dvHigh:1.24
time:20160128, dvT0:0.62, dvHigh:1.00
No51 SH600740: avgDV:1.07, avgHighDV:1.16, LastDV:0.70
time:20120131, dvT0:1.19, dvHigh:1.28
time:20130131, dvT0:1.08, dvHigh:1.17
time:20140130, dvT0:1.04, dvHigh:1.09
time:20150130, dvT0:0.97, dvHigh:1.10
No52 SH600060: avgDV:1.07, avgHighDV:1.15, LastDV:2.68
time:20120131, dvT0:1.22, dvHigh:1.27
time:20130131, dvT0:1.19, dvHigh:1.22
time:20140130, dvT0:0.97, dvHigh:1.02
time:20150130, dvT0:1.26, dvHigh:1.26
time:20160129, dvT0:0.71, dvHigh:1.00
No53 SZ002190: avgDV:1.07, avgHighDV:1.27, LastDV:2.09
