---summary report(20160125-20200101)---
SH600262 TBuyData:20160519(4), pvHi2Op(1.035), TSellData:20160520(1), dvSelltoBuy:5.00
SH600272 TBuyData:20160311(4), pvHi2Op(1.043), TSellData:20160314(1), dvSelltoBuy:5.00
SH600353 TBuyData:20160401(2), pvHi2Op(1.004), TSellData:20160406(2), dvSelltoBuy:5.00
SH600671 TBuyData:20160512(1), pvHi2Op(0.000), TSellData:20160513(1), dvSelltoBuy:5.00
SH600675 TBuyData:20160301(4), pvHi2Op(1.037), TSellData:20160302(1), dvSelltoBuy:5.00
SH600975 TBuyData:20160624(3), pvHi2Op(1.013), TSellData:20160627(1), dvSelltoBuy:5.00
SH601599 TBuyData:20160707(4), pvHi2Op(1.084), TSellData:20160708(1), dvSelltoBuy:5.00
SH603003 TBuyData:20160425(2), pvHi2Op(1.000), TSellData:20160427(2), dvSelltoBuy:5.00
SZ000008 TBuyData:20160302(1), pvHi2Op(0.000), TSellData:20160303(1), dvSelltoBuy:5.00
SZ000426 TBuyData:20160809(4), pvHi2Op(1.014), TSellData:20160810(1), dvSelltoBuy:5.00
SZ000592 TBuyData:20160802(2), pvHi2Op(1.033), TSellData:20160803(1), dvSelltoBuy:5.00
SZ000672 TBuyData:20160526(3), pvHi2Op(1.002), TSellData:20160527(1), dvSelltoBuy:5.00
SZ000925 TBuyData:20160614(3), pvHi2Op(1.024), TSellData:20160615(1), dvSelltoBuy:5.00
SZ002203 TBuyData:20160309(4), pvHi2Op(1.036), TSellData:20160314(3), dvSelltoBuy:5.00
SZ002263 TBuyData:20160621(4), pvHi2Op(1.072), TSellData:20160622(1), dvSelltoBuy:5.00
SZ002395 TBuyData:20160307(3), pvHi2Op(1.038), TSellData:20160308(1), dvSelltoBuy:5.00
SZ300089 TBuyData:20160315(1), pvHi2Op(0.000), TSellData:20160317(2), dvSelltoBuy:5.00
SZ300191 TBuyData:20160418(3), pvHi2Op(1.010), TSellData:20160420(2), dvSelltoBuy:5.00
SZ300365 TBuyData:20160224(2), pvHi2Op(1.023), TSellData:20160225(1), dvSelltoBuy:5.00
SZ300420 TBuyData:20160712(2), pvHi2Op(1.013), TSellData:20160713(1), dvSelltoBuy:5.00
SZ300509 TBuyData:20160808(3), pvHi2Op(1.040), TSellData:20160809(1), dvSelltoBuy:5.00
index(1), percent(27.59)  count(16) 
SH600094 TBuyData:20160308(4), pvHi2Op(1.027), TSellData:20160311(3), dvSelltoBuy:0.54
SH600106 TBuyData:20160226(3), pvHi2Op(1.083), TSellData:20160302(3), dvSelltoBuy:2.51
SH600295 TBuyData:20160310(3), pvHi2Op(1.009), TSellData:20160315(3), dvSelltoBuy:-0.28
SH600421 TBuyData:20160518(2), pvHi2Op(1.000), TSellData:20160523(3), dvSelltoBuy:-1.45
SH600569 TBuyData:20160426(3), pvHi2Op(1.020), TSellData:20160429(3), dvSelltoBuy:-0.44
SH600715 TBuyData:20160613(3), pvHi2Op(1.000), TSellData:20160616(3), dvSelltoBuy:0.10
SH600766 TBuyData:20160520(4), pvHi2Op(1.057), TSellData:20160525(3), dvSelltoBuy:2.33
SH600767 TBuyData:20160704(3), pvHi2Op(1.032), TSellData:20160707(3), dvSelltoBuy:2.13
SH600781 TBuyData:20160303(1), pvHi2Op(0.000), TSellData:20160308(3), dvSelltoBuy:-1.00
SH600864 TBuyData:20160429(2), pvHi2Op(1.021), TSellData:20160505(3), dvSelltoBuy:0.60
SZ000066 TBuyData:20160325(4), pvHi2Op(1.037), TSellData:20160330(3), dvSelltoBuy:-0.91
SZ000628 TBuyData:20160422(1), pvHi2Op(0.000), TSellData:20160427(3), dvSelltoBuy:-1.15
SZ000925 TBuyData:20160718(4), pvHi2Op(1.019), TSellData:20160721(3), dvSelltoBuy:2.13
SZ002570 TBuyData:20160715(3), pvHi2Op(1.019), TSellData:20160720(3), dvSelltoBuy:-1.01
SZ002643 TBuyData:20160524(3), pvHi2Op(1.023), TSellData:20160527(3), dvSelltoBuy:0.61
SZ002760 TBuyData:20160811(4), pvHi2Op(1.036), TSellData:20160816(3), dvSelltoBuy:-0.64
index(2), percent(27.59)  count(16) 
SH600226 TBuyData:20160304(1), pvHi2Op(0.000), TSellData:20160309(3), dvSelltoBuy:-1.80
SH600262 TBuyData:20160225(3), pvHi2Op(1.011), TSellData:20160301(3), dvSelltoBuy:-1.79
SH600401 TBuyData:20160509(3), pvHi2Op(1.014), TSellData:20160512(3), dvSelltoBuy:-8.54
SH600512 TBuyData:20160727(4), pvHi2Op(1.018), TSellData:20160801(3), dvSelltoBuy:-2.34
SH600696 TBuyData:20160523(3), pvHi2Op(1.064), TSellData:20160526(3), dvSelltoBuy:-10.51
SH601866 TBuyData:20160511(1), pvHi2Op(0.000), TSellData:20160516(3), dvSelltoBuy:-1.65
SZ000779 TBuyData:20160510(3), pvHi2Op(1.019), TSellData:20160513(3), dvSelltoBuy:-10.12
SZ000892 TBuyData:20160517(1), pvHi2Op(0.000), TSellData:20160520(3), dvSelltoBuy:-8.79
SZ002075 TBuyData:20160714(2), pvHi2Op(1.006), TSellData:20160719(3), dvSelltoBuy:-3.00
SZ002076 TBuyData:20160728(2), pvHi2Op(1.018), TSellData:20160802(3), dvSelltoBuy:-5.44
SZ002134 TBuyData:20160803(1), pvHi2Op(0.000), TSellData:20160808(3), dvSelltoBuy:-4.49
SZ002145 TBuyData:20160616(1), pvHi2Op(0.000), TSellData:20160621(3), dvSelltoBuy:-7.37
SZ002168 TBuyData:20160722(3), pvHi2Op(1.054), TSellData:20160727(3), dvSelltoBuy:-5.23
SZ002200 TBuyData:20160420(4), pvHi2Op(1.019), TSellData:20160425(3), dvSelltoBuy:-8.01
SZ300201 TBuyData:20160516(1), pvHi2Op(0.000), TSellData:20160519(3), dvSelltoBuy:-8.11
SZ300460 TBuyData:20160729(3), pvHi2Op(1.010), TSellData:20160803(3), dvSelltoBuy:-6.93
index(3), percent(1.72)  count(1) 
SH600136 TBuyData:20160513(1), pvHi2Op(0.000), TSellData:20160518(3), dvSelltoBuy:-12.06
No.(2)- Conditon: LastLimit(15), BUYPERCENT(1.00), DESTDVVALUE(6.00), duration(3)  Result:avgVal(0.67),totalCount(322), SelCount(66), selAvg(0.56) 
index(0), percent(45.45)  count(30) 
SH600075 TBuyData:20160311(4), pvHi2Op(1.021), TSellData:20160314(1), dvSelltoBuy:6.00
SH600075 TBuyData:20160801(2), pvHi2Op(1.000), TSellData:20160803(2), dvSelltoBuy:6.00
SH600095 TBuyData:20160229(1), pvHi2Op(0.000), TSellData:20160302(2), dvSelltoBuy:6.00
SH600106 TBuyData:20160225(2), pvHi2Op(1.000), TSellData:20160226(1), dvSelltoBuy:6.00
SH600117 TBuyData:20160301(2), pvHi2Op(1.085), TSellData:20160302(1), dvSelltoBuy:6.00
SH600165 TBuyData:20160722(4), pvHi2Op(1.023), TSellData:20160725(1), dvSelltoBuy:6.00
SH600207 TBuyData:20160215(3), pvHi2Op(1.060), TSellData:20160216(1), dvSelltoBuy:6.00
SH600262 TBuyData:20160518(3), pvHi2Op(1.035), TSellData:20160523(3), dvSelltoBuy:6.00
SH600392 TBuyData:20160226(4), pvHi2Op(1.014), TSellData:20160302(3), dvSelltoBuy:6.00
SH600589 TBuyData:20160316(2), pvHi2Op(1.010), TSellData:20160317(1), dvSelltoBuy:6.00
SH600671 TBuyData:20160512(1), pvHi2Op(0.000), TSellData:20160513(1), dvSelltoBuy:6.00
SH600711 TBuyData:20160329(2), pvHi2Op(1.005), TSellData:20160330(1), dvSelltoBuy:6.00
SH600774 TBuyData:20160526(3), pvHi2Op(1.014), TSellData:20160531(3), dvSelltoBuy:6.00
SH600806 TBuyData:20160205(2), pvHi2Op(1.052), TSellData:20160217(2), dvSelltoBuy:6.00
SH600975 TBuyData:20160408(3), pvHi2Op(1.024), TSellData:20160411(1), dvSelltoBuy:6.00
SH600975 TBuyData:20160624(3), pvHi2Op(1.013), TSellData:20160627(1), dvSelltoBuy:6.00
SH601599 TBuyData:20160707(4), pvHi2Op(1.084), TSellData:20160708(1), dvSelltoBuy:6.00
SH603778 TBuyData:20160530(2), pvHi2Op(1.016), TSellData:20160531(1), dvSelltoBuy:6.00
SZ000058 TBuyData:20160317(2), pvHi2Op(1.111), TSellData:20160318(1), dvSelltoBuy:6.00
